2090,8,40,3,24,S,0,999.45068359375,1,1,0,0,0,0,0,0
2091,8,40,3,24,U,0,3012.6571655273438
2092,8,40,3,24,U,0,2986.6695404052734
2093,8,40,3,24,S,0,1002.3117065429688,0,1,1,0,0,1,0,1
2094,8,40,3,24,S,0,0.0,0,1,1,0,1,1,0,1
2095,8,40,3,24,S,0,0.0,0,0,0,1,1,0,1,0
2096,8,40,3,24,U,0,4013.538360595703
2097,8,40,3,24,S,0,992.5365447998047,1,1,0,1,1,1,1,0
2098,8,40,3,24,U,0,1995.3250885009766
2099,8,40,3,24,S,0,1001.5964508056641,1,0,0,1,0,0,0,0
2100,12,60,3,36,U,0,55649.0421295166
2101,12,60,3,36,U,0,62958.478927612305
2102,12,60,3,36,U,0,53508.99696350098
2103,12,60,3,36,S,0,6999.969482421875,0,1,0,1,0,0,0,0,0,0,1,0
2104,12,60,3,36,S,0,11999.60708618164,0,1,1,0,1,1,0,0,0,1,1,0
2105,12,60,3,36,S,0,14000.415802001953,1,0,0,0,0,0,0,1,1,1,0,0
2106,12,60,3,36,U,0,60510.15853881836
2107,12,60,3,36,U,0,51999.807357788086
2108,12,60,3,36,U,0,57510.1375579834
2109,12,60,3,36,S,0,16000.032424926758,1,0,0,1,0,1,0,0,1,1,1,1
2110,16,80,3,48,U,0,1100003.0040740967
2111,16,80,3,48,S,0,508437.1566772461,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1
2112,16,80,3,48,S,0,260529.7565460205,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
2113,16,80,3,48,U,0,1081099.271774292
2114,16,80,3,48,U,0,1015602.5886535645
2115,16,80,3,48,S,0,10999.917984008789,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
2116,16,80,3,48,U,0,1059095.3826904297
2117,16,80,3,48,U,0,1002095.9377288818
2118,16,80,3,48,U,0,987894.0582275391
2119,16,80,3,48,U,0,1020206.4514160156
2120,18,90,3,54,U,0,4319369.792938232
2121,18,90,3,54,S,0,65999.74632263184,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
2122,18,90,3,54,U,0,4597840.309143066
2123,18,90,3,54,U,0,4185060.739517212
2124,18,90,3,54,U,0,4282200.09803772
2125,18,90,3,54,U,0,4331488.847732544
2126,18,90,3,54,U,0,4476140.737533569
2127,18,90,3,54,U,0,4343497.037887573
2128,18,90,3,54,U,0,4519090.414047241
2129,18,90,3,54,U,0,4365693.56918335
2130,20,100,3,60,U,0,19121053.93409729
2131,20,100,3,60,U,0,18566664.457321167
2132,20,100,3,60,U,0,19787731.170654297
2133,20,100,3,60,S,0,1942066.1926269531,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
2134,20,100,3,60,U,0,23205578.327178955
2135,20,100,3,60,U,0,19769987.82157898
2136,20,100,3,60,U,0,20200359.344482422
2137,20,100,3,60,U,0,19166126.72805786
2138,20,100,3,60,U,0,19921916.484832764
2139,20,100,3,60,S,0,3293558.5975646973,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2140,22,110,3,66,U,0,79469252.58636475
2141,22,110,3,66,U,0,89519158.60176086
2142,22,110,3,66,U,0,81552193.40324402
2143,22,110,3,66,U,0,86691068.88771057
2144,22,110,3,66,U,0,79520180.22537231
2145,22,110,3,66,S,0,17186711.072921753,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0
2146,22,110,3,66,U,0,81137498.37875366
2147,22,110,3,66,U,0,78796654.46281433
2148,22,110,3,66,U,0,81879992.96188354
2149,22,110,3,66,U,0,109373523.23532104
2150,24,120,3,72,U,0,426071465.49224854
2151,24,120,3,72,U,0,527906955.242157
2152,24,120,3,72,U,0,480764296.7700958
2153,24,120,3,72,U,0,509965091.94374084
2154,24,120,3,72,U,0,630116318.7026978
2155,24,120,3,72,U,0,427663724.899292
2156,24,120,3,72,U,0,496881393.67103577
2157,24,120,3,72,U,0,514531751.6326904
2158,24,120,3,72,U,0,257017741.2033081
2159,24,120,3,72,S,0,3259434.700012207,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0
2160,4,40,4,16,U,0,0.0
2161,4,40,4,16,U,0,0.0
2162,4,40,4,16,U,0,0.0
2163,4,40,4,16,U,0,0.0
2164,4,40,4,16,S,0,0.0,0,0,0,1
2165,4,40,4,16,U,0,1018.2857513427734
2166,4,40,4,16,S,0,0.0,0,0,1,1
2167,4,40,4,16,S,0,0.0,1,1,1,1
2168,4,40,4,16,S,0,0.0,0,1,0,1
2169,4,40,4,16,U,0,0.0
2170,8,80,4,32,U,0,1886.606216430664
2171,8,80,4,32,S,0,1095.2949523925781,0,1,1,1,0,0,0,1
2172,8,80,4,32,S,0,1002.0732879638672,1,0,1,0,0,1,0,0
2173,8,80,4,32,S,0,1002.5501251220703,0,1,0,1,0,0,1,0
2174,8,80,4,32,S,0,901.4606475830078,1,1,0,1,0,1,0,0
2175,8,80,4,32,S,0,1097.4407196044922,1,1,0,1,0,0,0,1
2176,8,80,4,32,S,0,988.9602661132812,1,1,0,1,0,0,1,1
2177,8,80,4,32,U,0,4002.3326873779297
2178,8,80,4,32,U,0,2993.5836791992188
2179,8,80,4,32,S,0,1000.1659393310547,1,1,0,0,0,1,1,1
2180,12,120,4,48,S,0,1906.1565399169922,0,0,0,0,1,0,1,0,1,0,1,1
2181,12,120,4,48,S,0,2099.752426147461,0,0,0,1,1,0,0,0,1,0,0,0
2182,12,120,4,48,S,0,25089.97917175293,1,1,0,1,0,1,1,0,1,0,1,1
2183,12,120,4,48,U,0,47652.7214050293
2184,12,120,4,48,U,0,55087.80479431152
2185,12,120,4,48,U,0,53802.490234375
2186,12,120,4,48,S,0,9898.900985717773,0,1,0,1,0,1,1,1,0,0,1,0
2187,12,120,4,48,U,0,52825.927734375
2188,12,120,4,48,S,0,10080.337524414062,0,1,0,0,1,0,0,0,0,1,1,0
2189,12,120,4,48,U,0,54921.627044677734
2190,16,160,4,64,U,0,1093534.4696044922
2191,16,160,4,64,U,0,1120880.6037902832
2192,16,160,4,64,U,0,1002740.3831481934
2193,16,160,4,64,S,0,232981.92024230957,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1
2194,16,160,4,64,U,0,1288988.1134033203
2195,16,160,4,64,S,0,405799.38888549805,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
2196,16,160,4,64,U,0,1118164.0625
2197,16,160,4,64,U,0,1040186.882019043
2198,16,160,4,64,S,0,113648.1761932373,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
2199,16,160,4,64,S,0,87662.4584197998,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
2200,18,180,4,72,S,0,798896.074295044,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
2201,18,180,4,72,S,0,1278322.696685791,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
2202,18,180,4,72,U,0,5003692.626953125
2203,18,180,4,72,S,0,108578.68194580078,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
2204,18,180,4,72,U,0,4971887.111663818
2205,18,180,4,72,S,0,444101.81045532227,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1
2206,18,180,4,72,S,0,2106629.6100616455,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1
2207,18,180,4,72,U,0,4503887.414932251
2208,18,180,4,72,U,0,4916162.490844727
2209,18,180,4,72,S,0,1837732.0766448975,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2210,20,200,4,80,S,0,3886025.4287719727,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0
2211,20,200,4,80,S,0,151028.87153625488,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
2212,20,200,4,80,U,0,18825902.700424194
2213,20,200,4,80,U,0,20076081.7527771
2214,20,200,4,80,S,0,62664.50881958008,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0
2215,20,200,4,80,U,0,18259454.488754272
2216,20,200,4,80,U,0,33878456.115722656
2217,20,200,4,80,U,0,36232274.770736694
2218,20,200,4,80,S,0,12955782.890319824,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
2219,20,200,4,80,S,0,140194.65446472168,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
2220,22,220,4,88,S,0,13051239.252090454,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0
2221,22,220,4,88,S,0,23120432.138442993,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
2222,22,220,4,88,S,0,6641005.992889404,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1
2223,22,220,4,88,S,0,19701784.372329712,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1
2224,22,220,4,88,S,0,10188753.843307495,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1
2225,22,220,4,88,U,0,140576360.70251465
2226,22,220,4,88,U,0,141276576.28059387
2227,22,220,4,88,S,0,48616848.46878052,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1
2228,22,220,4,88,U,0,145005773.54431152
2229,22,220,4,88,U,0,167453385.1146698
2230,24,240,4,96,U,0,619135179.7580719
2231,24,240,4,96,U,0,562602458.4770203
2232,24,240,4,96,S,0,217572939.8727417,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0
2233,24,240,4,96,U,0,471636370.18203735
2234,24,240,4,96,U,0,560550788.1641388
2235,24,240,4,96,S,0,223141348.12355042,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1
2236,24,240,4,96,U,0,541060960.5312347
2237,24,240,4,96,U,0,345107596.6358185
2238,24,240,4,96,S,0,42314259.52911377,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2239,24,240,4,96,U,0,370347356.55784607
kSATu,superComputers,2239,92,148,0,0
